"farmer_ID","trader_ID","MCC_ID","today","district","farmer.tot_prod","farmer.tot_sold","farmer.tot_sold_trader","farmer.trader_link","farmer.rejected_week","farmer.rejected_month","farmer.bett_prc","farmer.used_bran","farmer.used_residu","farmer.used_lick","farmer.used_cgrazing","treat","q_sold_1","q_sold_2","q_sold_3","q_sold_4","q_sold_5","q_sold_6","checked_1","checked_2","checked_3","checked_4","checked_5","checked_6","checked_how_1","checked_how_2","checked_how_3","checked_how_4","checked_how_5","checked_how_6","p_sold_1","p_sold_2","p_sold_3","p_sold_4","p_sold_5","p_sold_6"
"F_392","T_009","MCC_013","2025-12-05","Kazo",24,22,22,6,0,0,2,2,1,2,2,0,22,22,22,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_227","T_009","MCC_013","2025-12-05","Kazo",18,10,10,4,0,0,2,2,2,2,1,0,18,18,16,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,850,850,850,NA,NA,NA
"F_259","T_009","MCC_013","2025-12-05","Kazo",18,16,16,4,0,0,2,2,2,2,2,0,14,17,15,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,850,850,850,NA,NA,NA
"F_285","T_009","MCC_013","2025-12-05","Kazo",30,25,25,5,0,0,2,2,2,2,2,0,25,27,24,NA,NA,NA,1,2,1,NA,NA,NA,"Lactometer",NA,"Lactometer",NA,NA,NA,1000,1000,1000,NA,NA,NA
"F_372","T_010","MCC_001","2025-12-05","Kazo",52,37,20,5,0,0,2,2,2,1,1,0,20,18,22,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_408","T_010","MCC_001","2025-12-05","Kazo",6,4,4,4,0,0,2,2,1,1,2,0,6,6,6,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_116","T_010","MCC_001","2025-12-05","Kazo",50,40,40,6,0,0,2,2,2,1,2,0,40,40,40,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_335","T_010","MCC_001","2025-12-05","Kazo",9,8,8,4,0,0,2,2,2,1,2,0,8,9,8,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_007","T_010","MCC_001","2025-12-05","Kazo",40,36,36,5,0,0,2,2,2,1,2,0,34,36,36,NA,NA,NA,1,1,2,NA,NA,NA,"Lactometer","Lactometer",NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_049","T_011","MCC_014","2025-12-08","Kiruhura",50,30,30,5,0,0,2,2,2,2,2,0,30,32,25,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_082","T_011","MCC_014","2025-12-05","Kiruhura",22,15,15,6,0,0,2,2,2,1,2,0,11,10,10,NA,NA,NA,1,1,2,NA,NA,NA,"Lactometer","Lactometer",NA,NA,NA,NA,850,900,900,NA,NA,NA
"F_064","T_011","MCC_014","2025-12-05","Kiruhura",120,100,90,6,0,0,2,2,2,1,2,0,80,900,88,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_002","T_011","MCC_014","2025-12-05","Kiruhura",70,40,20,6,0,0,2,2,2,1,2,0,20,20,22,NA,NA,NA,1,1,2,NA,NA,NA,"Lactometer","Lactometer",NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_157","T_012","MCC_017","2025-12-05","Kazo",6,4,4,5,0,0,2,2,2,2,1,0,10,10,10,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,850,850,NA,NA,NA
"F_128","T_012","MCC_017","2025-12-05","Kazo",10,10,10,3,0,0,2,2,2,2,2,0,10,10,10,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,NA,NA,NA
"F_057","T_012","MCC_017","2025-12-05","Kazo",35,28,15,6,0,0,1,2,2,2,1,0,18,15,18,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,NA,NA,NA
"F_074","T_012","MCC_017","2025-12-05","Kazo",21,17,17,6,0,0,2,2,1,1,2,0,17,17,17,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,NA,NA,NA
"F_328","T_013","MCC_006","2025-12-03","Kiruhura",52,40,40,5,0,0,2,2,2,1,1,1,40,45,45,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,1000,1000,1000,NA,NA,NA
"F_148","T_013","MCC_006","2025-12-03","Kiruhura",35,30,30,5,0,0,2,2,2,1,1,1,31,30,30,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_348","T_013","MCC_006","2025-12-03","Kiruhura",45,35,35,6,0,0,2,2,1,1,1,1,33,37,35,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
